Scenario,Lifetime_Years,USD_per_100kg
260W Setup,5.201005025125628,4.836560296055181
260W Setup,5.276381909547738,4.799217914438502
260W Setup,5.351758793969848,4.762927430895534
260W Setup,5.427135678391959,4.72764501633987
260W Setup,5.50251256281407,4.69332924327888
260W Setup,5.57788944723618,4.659940923543864
260W Setup,5.6532663316582905,4.627442959001782
260W Setup,5.7286432160804015,4.595800204052913
260W Setup,5.8040201005025125,4.564979338842975
260W Setup,5.879396984924623,4.534948752228163
260W Setup,5.954773869346733,4.505678433628917
260W Setup,6.030150753768844,4.477139872994652
260W Setup,6.105527638190955,4.449305968178517
260W Setup,6.180904522613065,4.4221509390896045
260W Setup,6.256281407035175,4.3956502480510276
260W Setup,6.331658291457286,4.369780525846702
260W Setup,6.407035175879397,4.344519502988361
260W Setup,6.482412060301507,4.319845945777889
260W Setup,6.557788944723617,4.295739596779151
260W Setup,6.633165829145728,4.2721811193485655
260W Setup,6.708542713567839,4.249152045905185
260W Setup,6.783919597989949,4.226634729649436
260W Setup,6.859296482412059,4.20461229946524
260W Setup,6.93467336683417,4.18306861776331
260W Setup,7.010050251256281,4.161988241044218
260W Setup,7.085427135678391,4.141356382978723
260W Setup,7.160804020100501,4.121158879819871
260W Setup,7.236180904522612,4.101382157976827
260W Setup,7.311557788944723,4.082013203594465
260W Setup,7.3869346733668335,4.063039533995416
260W Setup,7.462311557788944,4.044449170852914
260W Setup,7.537688442211055,4.026230614973262
260W Setup,7.613065326633166,4.008372822576375
260W Setup,7.688442211055276,3.990865182971584
260W Setup,7.763819095477386,3.9736974975338764
260W Setup,7.839195979899497,3.956859959893048
260W Setup,7.914572864321608,3.9403431372549016
260W Setup,7.989949748743718,3.9241379527797395
260W Setup,8.065326633165828,3.9082356689489726
260W Setup,8.140703517587939,3.8926278718558125
260W Setup,8.21608040201005,3.8773064563606927
260W Setup,8.29145728643216,3.8622636120563927
260W Setup,8.36683417085427,3.8474918099918103
260W Setup,8.442211055276381,3.8329837901069514
260W Setup,8.517587939698492,3.8187325493351
260W Setup,8.592964824120603,3.804731330331175
260W Setup,8.668341708542712,3.790973610788189
260W Setup,8.743718592964823,3.777453093306288
260W Setup,8.819095477386934,3.7641636957813427
260W Setup,8.894472361809044,3.7510995422822444
260W Setup,8.969849246231155,3.738254954388172
260W Setup,9.045226130653266,3.7256244429590013
260W Setup,9.120603015075377,3.7132027003137837
260W Setup,9.195979899497488,3.7009845927938985
260W Setup,9.271356783919597,3.68896515368897
260W Setup,9.346733668341708,3.677139576505089
260W Setup,9.422110552763819,3.6655032085561494
260W Setup,9.497487437185928,3.6540515448603683
260W Setup,9.572864321608039,3.6427802223251504
260W Setup,9.64824120603015,3.6316850142045456
260W Setup,9.72361809045226,3.620761824814492
260W Setup,9.798994974874372,3.610006684491978
260W Setup,9.874371859296481,3.599415744785076
260W Setup,9.949748743718592,3.5889852738616104
260W Setup,10.025125628140703,3.5787116521249644
260W Setup,10.100502512562812,3.568591368026179
260W Setup,10.175879396984923,3.5586210140621906
260W Setup,10.251256281407034,3.548797282950613
260W Setup,10.326633165829145,3.539116963972052
260W Setup,10.402010050251256,3.5295769394714407
260W Setup,10.477386934673365,3.5201741815104066
260W Setup,10.552763819095476,3.5109057486631015
260W Setup,10.628140703517587,3.501768782948382
260W Setup,10.703517587939697,3.4927605068916168
260W Setup,10.778894472361808,3.4838782207097716
260W Setup,10.854271356783919,3.4751192996137847
260W Setup,10.92964824120603,3.4664811912225706
260W Setup,11.00502512562814,3.45796141308329
260W Setup,11.08040201005025,3.4495575502928446
260W Setup,11.15577889447236,3.441267253215782
260W Setup,11.231155778894472,3.4330882352941177
260W Setup,11.306532663316581,3.4250182709447414
260W Setup,11.381909547738692,3.4170551935403903
260W Setup,11.457286432160803,3.4091968934703067
260W Setup,11.532663316582914,3.401441316276956
260W Setup,11.608040201005025,3.393786460865337
260W Setup,11.683417085427134,3.386230377781611
260W Setup,11.758793969849245,3.3787711675579324
260W Setup,11.834170854271356,3.371406979120542
260W Setup,11.909547738693465,3.364136008258309
260W Setup,11.984924623115576,3.35695649614906
260W Setup,12.060301507537687,3.3498667279411762
260W Setup,12.135678391959798,3.342865031388049
260W Setup,12.21105527638191,3.335949775533109
260W Setup,12.286432160804019,3.3291193694432595
260W Setup,12.36180904522613,3.322372260988652
260W Setup,12.43718592964824,3.315706935666828
260W Setup,12.51256281407035,3.3091219154693636
260W Setup,12.58793969849246,3.302615757789234
260W Setup,12.663316582914572,3.2961870543672016
260W Setup,12.738693467336683,3.2898344302756066
260W Setup,12.814070351758794,3.283556542938031
260W Setup,12.889447236180903,3.2773520811833503
260W Setup,12.964824120603014,3.2712197643327943
260W Setup,13.040201005025125,3.265158341318661
260W Setup,13.115577889447234,3.2591665898334257
260W Setup,13.190954773869345,3.253243315508021
260W Setup,13.266331658291456,3.247387351118133
260W Setup,13.341708542713567,3.2415975558173957
260W Setup,13.417085427135678,3.235872814396443
260W Setup,13.492462311557787,3.2302120365667846
260W Setup,13.567839195979898,3.2246141562685677
